interface,intf_op_status,vrf,ip_address
ge-0/0/4.13571,up,vpnmonitor,inet,5.120.104.213/30
ge-0/0/4.13580,up,arabiaBorsa,inet,100.1.8.38/30
ge-0/0/4.13581,up,vpnmonitor,inet,5.120.99.17/30
ge-0/0/4.13590,up,arabia-MIST,inet,172.16.253.1/30
ge-0/0/4.13591,up,vpnmonitor,inet,5.78.19.49/30
ge-0/0/4.13600,up,arabiaMakasa,inet,172.18.203.5/30
ge-0/0/4.13601,up,vpnmonitor,inet,**** IP INTERFACE WITH NO IP ****
ge-0/0/4.13701,up,Alwan,inet,172.17.50.1/30
ge-0/0/4.13702,up,vpnmonitor,inet,5.120.207.29/30
ge-0/0/5.400,up,default,inet,10.40.72.17/29
ge-0/0/5.465,up,default,inet,**** IP INTERFACE WITH NO IP ****
ge-0/0/5.941,up,TE-MSAN,inet,10.9.154.33/29
ge-0/0/5.942,up,TE-MNGT,inet,10.239.51.17/29
ge-0/0/5.943,up,SIP-MSAN,inet,10.9.154.33/29
ge-0/0/5.1111,up,sci,inet,172.17.90.1/30
ge-0/0/5.1112,up,vpnmonitor,inet,5.120.165.133/30
ge-0/0/5.1113,up,vpnmonitor,inet,5.125.42.29/30
ge-0/0/5.1114,up,default,inet,172.17.40.165/30
ge-0/0/5.1115,up,default,inet,172.17.193.177/30
ge-0/0/5.1200,up,default,inet,172.17.205.149/30
ge-0/0/5.1201,up,vpnmonitor,inet,5.125.51.117/30
ge-0/0/5.1248,up,vpnmonitor,inet,5.125.29.181/30
ge-0/0/5.1249,up,default,inet,172.17.172.169/30
ge-0/0/5.2300,up,ETISALAT-VPLS-BITSTREAM,vpls,**** NON IP INTERFACE ****
ge-0/0/5.2550,up,VODA-VPLS-BITSTREAM,vpls,**** NON IP INTERFACE ****
ge-0/0/5.2800,up,NOOR-VPLS-BITSTREAM,vpls,**** NON IP INTERFACE ****
ge-0/0/5.3050,up,ORANGE-VPLS-BITSTREAM,vpls,**** NON IP INTERFACE ****
ge-0/0/5.13301,up,vpnmonitor,inet,5.119.56.77/30
ge-0/0/5.13302,up,default,inet,172.17.198.1/30
ge-0/0/5.13520,up,sci,inet,172.17.1.1/30
ge-0/0/5.13521,up,vpnmonitor,inet,5.119.24.9/30
ge-0/0/6.400,down,default,inet,10.40.72.25/29
ge-0/0/6.941,down,TE-MSAN,inet,10.9.154.41/29
ge-0/0/6.942,down,TE-MNGT,inet,10.239.51.25/29
ge-0/0/6.943,down,SIP-MSAN,inet,10.9.154.41/29
ge-0/0/6.1114,down,economicMakasa,inet,172.16.202.89/30
ge-0/0/6.1115,down,takaful,inet,172.18.8.1/30
ge-0/0/6.1132,down,Image-Furniture,inet,172.16.0.5/30
ge-0/0/6.1133,down,vpnmonitor,inet,5.120.141.185/30
ge-0/0/6.1251,down,ICHRD,inet,10.28.28.5/30
ge-0/0/6.1252,down,vpnmonitor,inet,5.120.21.209/30
ge-0/0/6.1254,down,vpnmonitor,inet,5.120.21.81/30
ge-0/0/6.1294,down,default,inet,172.17.48.33/30
ge-0/0/6.1392,down,default,inet,172.17.159.237/30
ge-0/0/6.1393,down,vpnmonitor,inet,5.120.147.217/30
ge-0/0/6.1451,down,MSAN_MPLS,inet,172.27.20.129/29
ge-0/0/6.2300,down,ETISALAT-VPLS-BITSTREAM,vpls,**** NON IP INTERFACE ****
ge-0/0/6.2550,down,VODA-VPLS-BITSTREAM,vpls,**** NON IP INTERFACE ****
ge-0/0/6.2800,down,NOOR-VPLS-BITSTREAM,vpls,**** NON IP INTERFACE ****
ge-0/0/6.3050,down,ORANGE-VPLS-BITSTREAM,vpls,**** NON IP INTERFACE ****
ge-0/0/6.13202,down,vpnmonitor,inet,5.120.81.45/30
ge-0/0/6.13204,down,Alfa-market,inet,172.16.100.5/30
ge-0/0/6.13205,down,Alfa-market,inet,172.17.1.1/30
ge-0/0/6.13206,down,vpnmonitor,inet,5.119.43.17/30
ge-0/0/6.13207,down,ghabbour,inet,172.16.133.1/30
ge-0/0/6.13208,down,vpnmonitor,inet,5.120.104.25/30
ge-0/0/6.13209,down,Economy_MIST-EFM,inet,172.16.250.29/30
ge-0/0/6.13210,down,vpnmonitor,inet,5.78.17.17/30
ge-0/0/6.13211,down,Economy_MIST-EFM,inet,172.16.250.25/30
ge-0/0/6.13212,down,vpnmonitor,inet,5.78.17.13/30
ge-0/0/6.13214,down,magmo3a,inet,172.16.16.1/30
ge-0/0/6.13215,down,vpnmonitor,inet,5.78.17.1/30
ge-0/0/6.13381,down,vpnmonitor,inet,5.78.17.9/30
ge-0/0/6.13390,down,magmo3aBorsa,inet,100.1.4.62/30
ge-0/0/6.13391,down,vpnmonitor,inet,5.119.15.245/30
ge-0/0/6.13610,down,economicMakasa,inet,172.16.202.85/30
ge-0/0/6.13611,down,vpnmonitor,inet,5.78.17.5/30
ge-0/0/6.13612,down,economic-MIST,inet,172.16.252.1/30
ge-0/0/6.13613,down,vpnmonitor,inet,5.19.40.201/30
ge-0/0/6.13620,down,wallBorsa,inet,100.0.102.178/30
ge-0/0/6.13621,down,vpnmonitor,inet,**** IP INTERFACE WITH NO IP ****
ge-0/0/6.13641,down,default,inet,**** IP INTERFACE WITH NO IP ****
ge-0/0/6.13670,down,wallMakasa,inet,172.16.200.149/30
ge-0/0/6.13671,down,vpnmonitor,inet,**** IP INTERFACE WITH NO IP ****
ge-0/0/6.13690,down,economic-MIST,inet,172.16.17.1/30
ge-0/0/6.13691,down,vpnmonitor,inet,5.19.40.129/30
ge-0/0/7.61,down,vpnmonitor,inet,5.3.40.1/30
ge-0/0/7.62,down,cib,inet,10.217.5.165/30
ge-0/0/7.63,down,vpnmonitor,inet,4.48.40.5/30
ge-0/0/7.77,down,default,inet,196.219.29.249/30
ge-0/0/7.100,down,L2circuit-to-103,inet,100.100.100.3/24
ge-0/0/7.200,down,default,inet,200.200.200.3/24
ge-0/0/7.300,down,Customer-BGP3,inet,220.220.220.10/30
ge-0/0/7.445,down,MobileShop,inet,10.16.252.5/30
ge-0/0/7.446,down,default,inet,196.219.219.105/30
ge-0/0/7.447,down,MobileShop,inet,10.16.252.2/30
ge-0/0/7.448,down,default,inet,196.219.219.109/30
ge-0/0/7.605,down,Mobile_Distributed_Portal,inet,10.18.252.1/30
ge-0/0/7.620,down,root,inet,196.219.0.45/30
ge-0/0/7.657,down,EALB,inet,10.17.17.2/30
